case_id,case_type,description,urgency_level,social_impact,past_delays,duration,priority
CASE-1748,Traffic,Case related to merger in Traffic matters.,4,4,7,265,Medium
CASE-1749,Civil,Case related to noise in Civil matters.,2,4,1,489,Low
CASE-1750,Criminal,Case related to permit in Criminal matters.,1,3,4,447,Low
CASE-1751,Civil,Case related to emergency in Civil matters.,6,4,8,448,High
CASE-1752,Civil,Case related to bail in Civil matters.,6,4,7,491,High
CASE-1753,Civil,Case related to merger in Civil matters.,3,2,7,703,Medium
CASE-1754,Commercial,Case related to license in Commercial matters.,2,4,4,667,Low
CASE-1755,Family,Case related to dispute in Family matters.,4,5,7,552,Medium
CASE-1756,Criminal,Case related to threat in Criminal matters.,5,3,10,433,High
CASE-1757,Family,Case related to fraud in Family matters.,5,3,9,322,High
CASE-1758,Traffic,Case related to murder in Traffic matters.,5,2,8,203,High
CASE-1759,Traffic,Case related to permit in Traffic matters.,1,2,7,199,Low
CASE-1760,Commercial,Case related to fraud in Commercial matters.,5,1,4,397,High
CASE-1761,Criminal,Case related to contract in Criminal matters.,4,5,2,624,Medium
CASE-1762,Commercial,Case related to traffic in Commercial matters.,2,5,5,664,Low
CASE-1763,Commercial,Case related to property in Commercial matters.,3,2,3,805,Medium
CASE-1764,Traffic,Case related to emergency in Traffic matters.,6,4,3,217,High
CASE-1765,Civil,Case related to kidnap in Civil matters.,5,1,5,416,High
CASE-1766,Commercial,Case related to tax in Commercial matters.,3,3,1,803,Medium
CASE-1767,Criminal,Case related to traffic in Criminal matters.,2,5,9,485,Low
CASE-1768,Traffic,Case related to noise in Traffic matters.,1,1,10,279,Low
CASE-1769,Traffic,Case related to mutual in Traffic matters.,2,4,0,115,Low
CASE-1770,Commercial,Case related to intellectual in Commercial matters.,4,5,2,884,Medium
CASE-1771,Traffic,Case related to protection in Traffic matters.,6,5,0,108,High
CASE-1772,Traffic,Case related to fine in Traffic matters.,2,4,6,245,Low
CASE-1773,Commercial,Case related to fine in Commercial matters.,2,5,0,558,Low
CASE-1774,Criminal,Case related to property in Criminal matters.,3,3,7,620,Medium
CASE-1775,Civil,Case related to intellectual in Civil matters.,4,5,4,715,Medium
CASE-1776,Criminal,Case related to emergency in Criminal matters.,5,2,2,246,High
CASE-1777,Family,Case related to fine in Family matters.,1,1,1,200,Low
CASE-1778,Commercial,Case related to traffic in Commercial matters.,2,5,3,608,Low
CASE-1779,Traffic,Case related to property in Traffic matters.,4,5,6,258,Medium
CASE-1780,Family,Case related to noise in Family matters.,2,5,3,308,Low
CASE-1781,Civil,Case related to bail in Civil matters.,5,3,6,418,High
CASE-1782,Traffic,Case related to mutual in Traffic matters.,2,5,0,188,Low
CASE-1783,Commercial,Case related to divorce in Commercial matters.,1,1,4,568,Low
CASE-1784,Traffic,Case related to license in Traffic matters.,1,1,3,158,Low
CASE-1785,Commercial,Case related to bail in Commercial matters.,6,4,6,543,High
CASE-1786,Family,Case related to protection in Family matters.,5,2,0,225,High
CASE-1787,Traffic,Case related to merger in Traffic matters.,3,2,9,291,Medium
CASE-1788,Criminal,Case related to fraud in Criminal matters.,5,2,9,343,High
CASE-1789,Family,Case related to intellectual in Family matters.,4,5,10,539,Medium
CASE-1790,Traffic,Case related to threat in Traffic matters.,5,1,5,137,High
CASE-1791,Civil,Case related to rape in Civil matters.,6,4,7,447,High
CASE-1792,Criminal,Case related to divorce in Criminal matters.,1,1,6,454,Low
CASE-1793,Commercial,Case related to bail in Commercial matters.,6,5,1,422,High
CASE-1794,Commercial,Case related to fraud in Commercial matters.,5,1,10,542,High
CASE-1795,Civil,Case related to tax in Civil matters.,3,2,0,658,Medium
CASE-1796,Commercial,Case related to murder in Commercial matters.,5,3,4,500,High
CASE-1797,Family,Case related to noise in Family matters.,2,5,0,305,Low
CASE-1798,Commercial,Case related to inheritance in Commercial matters.,4,4,9,978,Medium
CASE-1799,Traffic,Case related to noise in Traffic matters.,1,1,10,280,Low
CASE-1800,Civil,Case related to intellectual in Civil matters.,4,4,8,821,Medium
CASE-1801,Family,Case related to protection in Family matters.,5,1,7,233,High
CASE-1802,Family,Case related to fine in Family matters.,1,3,1,241,Low
CASE-1803,Criminal,Case related to merger in Criminal matters.,3,3,7,571,Medium
CASE-1804,Commercial,Case related to corporate in Commercial matters.,4,4,9,980,Medium
CASE-1805,Traffic,Case related to rape in Traffic matters.,6,5,7,243,High
CASE-1806,Family,Case related to license in Family matters.,2,4,5,377,Low
CASE-1807,Commercial,Case related to contract in Commercial matters.,3,1,10,912,Medium
CASE-1808,Traffic,Case related to property in Traffic matters.,3,1,2,177,Medium
CASE-1809,Civil,Case related to mutual in Civil matters.,1,2,7,520,Low
CASE-1810,Criminal,Case related to tax in Criminal matters.,3,2,8,660,Medium
CASE-1811,Criminal,Case related to license in Criminal matters.,2,4,10,500,Low
CASE-1812,Commercial,Case related to license in Commercial matters.,1,3,3,608,Low
CASE-1813,Traffic,Case related to mutual in Traffic matters.,1,2,10,215,Low
CASE-1814,Family,Case related to inheritance in Family matters.,3,2,9,525,Medium
CASE-1815,Traffic,Case related to corporate in Traffic matters.,4,5,7,338,Medium
CASE-1816,Civil,Case related to rape in Civil matters.,5,2,5,427,High
CASE-1817,Family,Case related to license in Family matters.,1,2,10,351,Low
CASE-1818,Traffic,Case related to medical in Traffic matters.,5,3,5,179,High
CASE-1819,Family,Case related to dispute in Family matters.,3,2,1,337,Medium
CASE-1820,Commercial,Case related to kidnap in Commercial matters.,5,3,0,390,High
CASE-1821,Criminal,Case related to license in Criminal matters.,1,1,2,318,Low
CASE-1822,Civil,Case related to fine in Civil matters.,2,4,6,563,Low
CASE-1823,Traffic,Case related to license in Traffic matters.,1,1,0,67,Low
CASE-1824,Criminal,Case related to permit in Criminal matters.,2,5,5,498,Low
CASE-1825,Family,Case related to license in Family matters.,2,5,1,287,Low
CASE-1826,Commercial,Case related to protection in Commercial matters.,5,1,1,364,High
CASE-1827,Commercial,Case related to emergency in Commercial matters.,5,2,8,475,High
CASE-1828,Criminal,Case related to merger in Criminal matters.,4,4,4,568,Medium
CASE-1829,Commercial,Case related to divorce in Commercial matters.,2,4,3,621,Low
CASE-1830,Civil,Case related to permit in Civil matters.,1,1,2,411,Low
CASE-1831,Traffic,Case related to contract in Traffic matters.,4,5,0,195,Medium
CASE-1832,Commercial,Case related to emergency in Commercial matters.,6,5,0,485,High
CASE-1833,Criminal,Case related to mutual in Criminal matters.,1,2,9,505,Low
CASE-1834,Civil,Case related to murder in Civil matters.,6,4,7,485,High
CASE-1835,Family,Case related to noise in Family matters.,1,3,4,274,Low
CASE-1836,Criminal,Case related to rape in Criminal matters.,6,4,3,367,High
CASE-1837,Commercial,Case related to fraud in Commercial matters.,6,5,8,576,High
CASE-1838,Commercial,Case related to dispute in Commercial matters.,4,5,5,906,Medium
CASE-1839,Criminal,Case related to fraud in Criminal matters.,5,1,0,197,High
CASE-1840,Family,Case related to divorce in Family matters.,1,1,8,338,Low
CASE-1841,Civil,Case related to permit in Civil matters.,1,3,2,451,Low
CASE-1842,Commercial,Case related to inheritance in Commercial matters.,4,5,9,965,Medium
CASE-1843,Criminal,Case related to noise in Criminal matters.,2,5,5,500,Low
CASE-1844,Criminal,Case related to merger in Criminal matters.,3,1,8,540,Medium
CASE-1845,Family,Case related to intellectual in Family matters.,3,3,3,364,Medium
CASE-1846,Family,Case related to dispute in Family matters.,4,5,3,424,Medium
CASE-1847,Civil,Case related to emergency in Civil matters.,6,5,2,385,High
CASE-1848,Civil,Case related to kidnap in Civil matters.,5,2,2,397,High
CASE-1849,Criminal,Case related to rape in Criminal matters.,5,2,9,425,High
CASE-1850,Family,Case related to license in Family matters.,2,4,1,266,Low
CASE-1851,Civil,Case related to contract in Civil matters.,3,3,8,809,Medium
CASE-1852,Traffic,Case related to license in Traffic matters.,2,4,5,207,Low
CASE-1853,Civil,Case related to noise in Civil matters.,2,5,4,548,Low
CASE-1854,Traffic,Case related to permit in Traffic matters.,2,5,4,265,Low
CASE-1855,Criminal,Case related to tax in Criminal matters.,4,5,9,677,Medium
CASE-1856,Traffic,Case related to corporate in Traffic matters.,3,2,8,299,Medium
CASE-1857,Family,Case related to kidnap in Family matters.,5,2,9,267,High
CASE-1858,Civil,Case related to fine in Civil matters.,1,2,10,557,Low
CASE-1859,Commercial,Case related to divorce in Commercial matters.,2,4,2,645,Low
CASE-1860,Traffic,Case related to fraud in Traffic matters.,6,5,10,253,High
CASE-1861,Traffic,Case related to divorce in Traffic matters.,1,1,3,110,Low
CASE-1862,Commercial,Case related to traffic in Commercial matters.,2,4,1,604,Low
CASE-1863,Civil,Case related to contract in Civil matters.,4,5,3,777,Medium
CASE-1864,Family,Case related to emergency in Family matters.,5,3,1,223,High
CASE-1865,Civil,Case related to divorce in Civil matters.,1,1,7,520,Low
CASE-1866,Traffic,Case related to protection in Traffic matters.,5,1,1,42,High
CASE-1867,Traffic,Case related to emergency in Traffic matters.,5,2,4,191,High
CASE-1868,Family,Case related to tax in Family matters.,3,3,8,487,Medium
CASE-1869,Civil,Case related to property in Civil matters.,3,1,5,721,Medium
CASE-1870,Civil,Case related to property in Civil matters.,3,2,4,742,Medium
CASE-1871,Traffic,Case related to fraud in Traffic matters.,5,3,9,285,High
CASE-1872,Civil,Case related to fine in Civil matters.,2,5,10,637,Low
CASE-1873,Traffic,Case related to corporate in Traffic matters.,3,2,5,172,Medium
CASE-1874,Family,Case related to threat in Family matters.,5,2,3,256,High
CASE-1875,Commercial,Case related to divorce in Commercial matters.,1,2,7,612,Low
CASE-1876,Criminal,Case related to noise in Criminal matters.,1,2,5,403,Low
CASE-1877,Traffic,Case related to contract in Traffic matters.,4,5,9,354,Medium
CASE-1878,Civil,Case related to mutual in Civil matters.,2,4,9,663,Low
CASE-1879,Traffic,Case related to dispute in Traffic matters.,3,2,1,182,Medium
CASE-1880,Commercial,Case related to divorce in Commercial matters.,1,2,5,590,Low
CASE-1881,Traffic,Case related to noise in Traffic matters.,1,1,10,190,Low
CASE-1882,Traffic,Case related to merger in Traffic matters.,3,1,6,248,Medium
CASE-1883,Civil,Case related to threat in Civil matters.,6,4,2,398,High
CASE-1884,Commercial,Case related to dispute in Commercial matters.,4,4,2,897,Medium
CASE-1885,Criminal,Case related to merger in Criminal matters.,4,5,1,519,Medium
CASE-1886,Family,Case related to traffic in Family matters.,1,3,1,296,Low
CASE-1887,Traffic,Case related to property in Traffic matters.,4,5,1,237,Medium
CASE-1888,Traffic,Case related to inheritance in Traffic matters.,3,1,5,157,Medium
CASE-1889,Traffic,Case related to license in Traffic matters.,1,2,6,213,Low
CASE-1890,Family,Case related to inheritance in Family matters.,4,4,5,432,Medium
CASE-1891,Commercial,Case related to kidnap in Commercial matters.,6,5,0,485,High
CASE-1892,Family,Case related to permit in Family matters.,2,5,8,463,Low
CASE-1893,Family,Case related to traffic in Family matters.,1,2,6,368,Low
CASE-1894,Traffic,Case related to murder in Traffic matters.,6,5,3,153,High
CASE-1895,Criminal,Case related to permit in Criminal matters.,1,1,8,466,Low
CASE-1896,Family,Case related to noise in Family matters.,1,2,7,367,Low
CASE-1897,Commercial,Case related to emergency in Commercial matters.,6,5,0,452,High
CASE-1898,Criminal,Case related to threat in Criminal matters.,6,5,2,365,High
CASE-1899,Traffic,Case related to medical in Traffic matters.,6,5,9,281,High
CASE-1900,Traffic,Case related to merger in Traffic matters.,3,3,10,282,Medium
CASE-1901,Commercial,Case related to kidnap in Commercial matters.,6,4,9,599,High
CASE-1902,Traffic,Case related to inheritance in Traffic matters.,3,1,2,123,Medium
CASE-1903,Traffic,Case related to property in Traffic matters.,3,1,5,153,Medium
CASE-1904,Family,Case related to merger in Family matters.,3,3,5,473,Medium
CASE-1905,Traffic,Case related to intellectual in Traffic matters.,4,5,3,234,Medium
CASE-1906,Civil,Case related to threat in Civil matters.,6,4,6,439,High
CASE-1907,Civil,Case related to dispute in Civil matters.,4,5,9,880,Medium
CASE-1908,Traffic,Case related to property in Traffic matters.,3,2,3,223,Medium
CASE-1909,Traffic,Case related to inheritance in Traffic matters.,3,2,4,140,Medium
CASE-1910,Commercial,Case related to contract in Commercial matters.,4,4,1,873,Medium
CASE-1911,Civil,Case related to permit in Civil matters.,1,3,4,542,Low
CASE-1912,Commercial,Case related to protection in Commercial matters.,6,5,4,521,High
CASE-1913,Civil,Case related to mutual in Civil matters.,1,2,8,515,Low
CASE-1914,Civil,Case related to medical in Civil matters.,5,3,9,492,High
CASE-1915,Family,Case related to intellectual in Family matters.,3,1,2,346,Medium
CASE-1916,Civil,Case related to medical in Civil matters.,5,3,0,346,High
CASE-1917,Family,Case related to merger in Family matters.,3,1,9,419,Medium
CASE-1918,Civil,Case related to corporate in Civil matters.,3,2,3,669,Medium
CASE-1919,Family,Case related to dispute in Family matters.,3,2,1,337,Medium
CASE-1920,Commercial,Case related to permit in Commercial matters.,1,3,3,556,Low
CASE-1921,Commercial,Case related to merger in Commercial matters.,3,1,0,814,Medium
CASE-1922,Traffic,Case related to threat in Traffic matters.,5,3,10,217,High
CASE-1923,Commercial,Case related to mutual in Commercial matters.,1,1,1,533,Low
CASE-1924,Family,Case related to permit in Family matters.,1,2,2,274,Low
CASE-1925,Commercial,Case related to contract in Commercial matters.,3,1,1,828,Medium
CASE-1926,Commercial,Case related to divorce in Commercial matters.,1,2,10,713,Low
CASE-1927,Family,Case related to property in Family matters.,3,1,5,384,Medium
CASE-1928,Commercial,Case related to dispute in Commercial matters.,3,2,8,866,Medium
CASE-1929,Family,Case related to dispute in Family matters.,4,4,5,496,Medium
CASE-1930,Family,Case related to noise in Family matters.,1,3,7,330,Low
CASE-1931,Commercial,Case related to threat in Commercial matters.,5,2,9,480,High
CASE-1932,Civil,Case related to medical in Civil matters.,6,5,0,376,High
CASE-1933,Traffic,Case related to permit in Traffic matters.,1,3,3,209,Low
CASE-1934,Civil,Case related to property in Civil matters.,4,4,4,716,Medium
CASE-1935,Family,Case related to emergency in Family matters.,5,2,9,319,High
CASE-1936,Family,Case related to corporate in Family matters.,3,3,2,393,Medium
CASE-1937,Family,Case related to property in Family matters.,3,2,1,318,Medium
CASE-1938,Family,Case related to license in Family matters.,1,3,6,331,Low
CASE-1939,Family,Case related to threat in Family matters.,6,4,3,313,High
CASE-1940,Criminal,Case related to contract in Criminal matters.,3,1,3,520,Medium
CASE-1941,Commercial,Case related to dispute in Commercial matters.,4,5,0,882,Medium
CASE-1942,Criminal,Case related to kidnap in Criminal matters.,6,4,8,426,High
CASE-1943,Civil,Case related to kidnap in Civil matters.,5,1,2,353,High
CASE-1944,Criminal,Case related to license in Criminal matters.,1,1,6,390,Low
CASE-1945,Commercial,Case related to permit in Commercial matters.,1,2,1,554,Low
CASE-1946,Family,Case related to protection in Family matters.,5,3,8,283,High
CASE-1947,Family,Case related to merger in Family matters.,4,5,8,513,Medium
CASE-1948,Family,Case related to corporate in Family matters.,4,5,6,457,Medium
CASE-1949,Criminal,Case related to tax in Criminal matters.,3,2,2,551,Medium
CASE-1950,Family,Case related to bail in Family matters.,6,5,0,227,High
CASE-1951,Traffic,Case related to mutual in Traffic matters.,1,1,4,187,Low
CASE-1952,Criminal,Case related to murder in Criminal matters.,5,1,4,310,High
CASE-1953,Traffic,Case related to kidnap in Traffic matters.,6,5,10,271,High
CASE-1954,Commercial,Case related to contract in Commercial matters.,3,3,7,908,Medium
CASE-1955,Civil,Case related to fine in Civil matters.,2,5,6,583,Low
CASE-1956,Civil,Case related to kidnap in Civil matters.,6,5,9,536,High
CASE-1957,Criminal,Case related to protection in Criminal matters.,6,4,9,466,High
CASE-1958,Commercial,Case related to contract in Commercial matters.,3,2,0,755,Medium
CASE-1959,Family,Case related to property in Family matters.,4,4,6,455,Medium
CASE-1960,Criminal,Case related to permit in Criminal matters.,2,4,0,381,Low
CASE-1961,Family,Case related to bail in Family matters.,6,4,6,346,High
CASE-1962,Family,Case related to emergency in Family matters.,5,3,0,230,High
CASE-1963,Traffic,Case related to inheritance in Traffic matters.,4,4,2,168,Medium
CASE-1964,Traffic,Case related to noise in Traffic matters.,1,3,1,148,Low
CASE-1965,Civil,Case related to permit in Civil matters.,1,1,6,463,Low
CASE-1966,Family,Case related to bail in Family matters.,5,1,9,257,High
CASE-1967,Traffic,Case related to bail in Traffic matters.,5,2,2,150,High
CASE-1968,Commercial,Case related to murder in Commercial matters.,6,5,2,445,High
CASE-1969,Family,Case related to corporate in Family matters.,3,3,2,373,Medium
CASE-1970,Commercial,Case related to fine in Commercial matters.,1,1,1,553,Low
CASE-1971,Criminal,Case related to permit in Criminal matters.,1,2,8,435,Low
CASE-1972,Commercial,Case related to traffic in Commercial matters.,1,3,6,690,Low
CASE-1973,Commercial,Case related to fraud in Commercial matters.,5,3,7,489,High
CASE-1974,Family,Case related to permit in Family matters.,2,5,6,410,Low
CASE-1975,Family,Case related to license in Family matters.,2,5,0,252,Low
CASE-1976,Family,Case related to merger in Family matters.,4,4,4,414,Medium
CASE-1977,Criminal,Case related to murder in Criminal matters.,5,1,7,335,High
CASE-1978,Commercial,Case related to divorce in Commercial matters.,2,4,5,630,Low
CASE-1979,Civil,Case related to inheritance in Civil matters.,3,2,7,777,Medium
CASE-1980,Traffic,Case related to permit in Traffic matters.,1,2,9,255,Low
CASE-1981,Family,Case related to license in Family matters.,2,5,10,443,Low
CASE-1982,Traffic,Case related to traffic in Traffic matters.,2,4,1,105,Low
CASE-1983,Traffic,Case related to threat in Traffic matters.,5,1,6,175,High
CASE-1984,Family,Case related to rape in Family matters.,5,1,4,183,High
CASE-1985,Family,Case related to fine in Family matters.,1,2,9,333,Low
CASE-1986,Traffic,Case related to bail in Traffic matters.,6,4,1,136,High
CASE-1987,Commercial,Case related to fraud in Commercial matters.,6,5,6,506,High
CASE-1988,Criminal,Case related to threat in Criminal matters.,6,4,9,435,High
CASE-1989,Traffic,Case related to fine in Traffic matters.,1,3,8,276,Low
CASE-1990,Commercial,Case related to mutual in Commercial matters.,2,5,9,703,Low
CASE-1991,Traffic,Case related to mutual in Traffic matters.,2,5,9,253,Low
CASE-1992,Commercial,Case related to intellectual in Commercial matters.,4,4,8,946,Medium
CASE-1993,Criminal,Case related to protection in Criminal matters.,5,3,3,362,High
CASE-1994,Criminal,Case related to noise in Criminal matters.,1,1,8,444,Low
CASE-1995,Commercial,Case related to merger in Commercial matters.,4,5,0,832,Medium
CASE-1996,Family,Case related to dispute in Family matters.,3,1,7,409,Medium
CASE-1997,Commercial,Case related to protection in Commercial matters.,6,4,9,558,High
CASE-1998,Commercial,Case related to contract in Commercial matters.,3,1,9,941,Medium
CASE-1999,Criminal,Case related to corporate in Criminal matters.,3,2,5,606,Medium
CASE-2000,Civil,Case related to noise in Civil matters.,2,5,5,617,Low
CASE-2001,Civil,Case related to rape in Civil matters.,6,4,5,436,High
CASE-2002,Civil,Case related to divorce in Civil matters.,2,4,9,600,Low
CASE-2003,Criminal,Case related to kidnap in Criminal matters.,6,4,4,313,High
CASE-2004,Civil,Case related to emergency in Civil matters.,5,2,5,370,High
CASE-2005,Criminal,Case related to contract in Criminal matters.,4,4,3,535,Medium
CASE-2006,Traffic,Case related to emergency in Traffic matters.,6,5,10,280,High
CASE-2007,Criminal,Case related to fraud in Criminal matters.,5,1,3,309,High
CASE-2008,Criminal,Case related to threat in Criminal matters.,6,4,4,307,High
CASE-2009,Family,Case related to permit in Family matters.,2,5,6,402,Low
CASE-2010,Criminal,Case related to bail in Criminal matters.,5,1,5,260,High
CASE-2011,Civil,Case related to mutual in Civil matters.,2,5,0,517,Low
CASE-2012,Criminal,Case related to threat in Criminal matters.,6,4,0,278,High
CASE-2013,Civil,Case related to medical in Civil matters.,5,1,7,361,High
CASE-2014,Civil,Case related to merger in Civil matters.,3,2,3,689,Medium
CASE-2015,Commercial,Case related to medical in Commercial matters.,6,5,6,533,High
CASE-2016,Family,Case related to murder in Family matters.,6,4,1,196,High
CASE-2017,Civil,Case related to divorce in Civil matters.,2,4,8,577,Low
CASE-2018,Family,Case related to protection in Family matters.,6,5,1,288,High
CASE-2019,Traffic,Case related to inheritance in Traffic matters.,4,5,2,238,Medium
CASE-2020,Criminal,Case related to noise in Criminal matters.,1,1,7,474,Low
CASE-2021,Civil,Case related to murder in Civil matters.,6,4,8,458,High
CASE-2022,Civil,Case related to mutual in Civil matters.,1,2,4,455,Low
CASE-2023,Family,Case related to property in Family matters.,4,5,7,532,Medium
CASE-2024,Traffic,Case related to fine in Traffic matters.,1,3,3,131,Low
CASE-2025,Civil,Case related to bail in Civil matters.,6,4,1,395,High
CASE-2026,Traffic,Case related to intellectual in Traffic matters.,4,5,2,186,Medium
CASE-2027,Family,Case related to medical in Family matters.,5,3,1,259,High
CASE-2028,Family,Case related to divorce in Family matters.,2,5,6,403,Low
CASE-2029,Commercial,Case related to fraud in Commercial matters.,5,3,7,492,High
CASE-2030,Traffic,Case related to corporate in Traffic matters.,4,4,9,262,Medium
CASE-2031,Criminal,Case related to inheritance in Criminal matters.,3,2,4,529,Medium
CASE-2032,Civil,Case related to license in Civil matters.,1,2,4,464,Low
CASE-2033,Traffic,Case related to fine in Traffic matters.,1,1,2,116,Low
CASE-2034,Civil,Case related to traffic in Civil matters.,1,3,2,505,Low
CASE-2035,Traffic,Case related to divorce in Traffic matters.,2,5,3,235,Low
CASE-2036,Family,Case related to medical in Family matters.,6,4,3,284,High
CASE-2037,Family,Case related to divorce in Family matters.,2,4,4,304,Low
CASE-2038,Civil,Case related to divorce in Civil matters.,1,2,10,620,Low
CASE-2039,Civil,Case related to divorce in Civil matters.,1,3,2,500,Low
CASE-2040,Traffic,Case related to threat in Traffic matters.,6,4,3,136,High
CASE-2041,Commercial,Case related to fine in Commercial matters.,1,3,4,606,Low
CASE-2042,Civil,Case related to mutual in Civil matters.,1,1,1,395,Low
CASE-2043,Civil,Case related to mutual in Civil matters.,2,4,1,481,Low
CASE-2044,Criminal,Case related to kidnap in Criminal matters.,6,4,3,358,High
CASE-2045,Commercial,Case related to traffic in Commercial matters.,1,2,2,535,Low
CASE-2046,Civil,Case related to traffic in Civil matters.,2,5,4,541,Low
CASE-2047,Family,Case related to rape in Family matters.,6,5,4,341,High
CASE-2048,Commercial,Case related to mutual in Commercial matters.,1,2,7,635,Low
CASE-2049,Traffic,Case related to fraud in Traffic matters.,5,3,9,223,High
CASE-2050,Commercial,Case related to murder in Commercial matters.,6,4,4,470,High
CASE-2051,Family,Case related to mutual in Family matters.,1,2,9,383,Low
CASE-2052,Commercial,Case related to license in Commercial matters.,1,1,4,532,Low
CASE-2053,Civil,Case related to traffic in Civil matters.,1,2,5,497,Low
CASE-2054,Civil,Case related to kidnap in Civil matters.,5,1,10,493,High
CASE-2055,Family,Case related to protection in Family matters.,5,3,7,276,High
CASE-2056,Commercial,Case related to license in Commercial matters.,2,5,7,714,Low
CASE-2057,Criminal,Case related to contract in Criminal matters.,3,3,0,539,Medium
CASE-2058,Criminal,Case related to traffic in Criminal matters.,1,2,5,454,Low
CASE-2059,Family,Case related to inheritance in Family matters.,4,5,5,505,Medium
CASE-2060,Commercial,Case related to inheritance in Commercial matters.,3,3,10,1003,Medium
CASE-2061,Family,Case related to contract in Family matters.,3,1,3,338,Medium
CASE-2062,Traffic,Case related to mutual in Traffic matters.,2,5,1,207,Low
CASE-2063,Family,Case related to corporate in Family matters.,3,1,6,402,Medium
CASE-2064,Civil,Case related to protection in Civil matters.,5,3,10,511,High
CASE-2065,Commercial,Case related to dispute in Commercial matters.,3,2,7,930,Medium
CASE-2066,Traffic,Case related to murder in Traffic matters.,5,2,2,104,High
CASE-2067,Family,Case related to murder in Family matters.,6,4,5,321,High
CASE-2068,Civil,Case related to traffic in Civil matters.,2,5,6,594,Low
CASE-2069,Traffic,Case related to license in Traffic matters.,1,3,9,241,Low
CASE-2070,Civil,Case related to intellectual in Civil matters.,3,3,8,755,Medium
CASE-2071,Commercial,Case related to protection in Commercial matters.,6,5,6,513,High
CASE-2072,Family,Case related to emergency in Family matters.,6,5,8,331,High
CASE-2073,Criminal,Case related to bail in Criminal matters.,5,3,6,354,High
CASE-2074,Family,Case related to noise in Family matters.,2,4,8,413,Low
CASE-2075,Criminal,Case related to merger in Criminal matters.,3,3,3,560,Medium
CASE-2076,Civil,Case related to contract in Civil matters.,4,4,8,767,Medium
CASE-2077,Criminal,Case related to murder in Criminal matters.,5,2,4,300,High
CASE-2078,Criminal,Case related to property in Criminal matters.,4,5,1,550,Medium
CASE-2079,Civil,Case related to rape in Civil matters.,6,5,3,457,High
CASE-2080,Criminal,Case related to emergency in Criminal matters.,5,3,3,280,High
CASE-2081,Criminal,Case related to divorce in Criminal matters.,2,4,9,559,Low
CASE-2082,Civil,Case related to property in Civil matters.,4,5,7,776,Medium
CASE-2083,Family,Case related to permit in Family matters.,2,5,5,368,Low
CASE-2084,Family,Case related to traffic in Family matters.,2,4,6,352,Low
CASE-2085,Criminal,Case related to intellectual in Criminal matters.,3,2,1,497,Medium
CASE-2086,Criminal,Case related to medical in Criminal matters.,6,4,6,413,High
CASE-2087,Criminal,Case related to traffic in Criminal matters.,1,3,0,397,Low
CASE-2088,Family,Case related to kidnap in Family matters.,5,2,8,263,High
CASE-2089,Criminal,Case related to rape in Criminal matters.,6,5,6,441,High
CASE-2090,Commercial,Case related to bail in Commercial matters.,5,2,5,510,High
CASE-2091,Commercial,Case related to permit in Commercial matters.,1,1,6,584,Low
CASE-2092,Commercial,Case related to noise in Commercial matters.,1,2,9,682,Low
CASE-2093,Civil,Case related to bail in Civil matters.,5,2,4,395,High
CASE-2094,Family,Case related to protection in Family matters.,6,4,0,210,High
CASE-2095,Family,Case related to fraud in Family matters.,5,3,1,173,High
CASE-2096,Family,Case related to mutual in Family matters.,1,3,10,387,Low
CASE-2097,Traffic,Case related to fine in Traffic matters.,2,4,10,315,Low
CASE-2098,Family,Case related to permit in Family matters.,1,3,2,256,Low
CASE-2099,Criminal,Case related to bail in Criminal matters.,5,3,5,348,High
CASE-2100,Civil,Case related to bail in Civil matters.,6,5,3,401,High
CASE-2101,Traffic,Case related to divorce in Traffic matters.,1,3,1,101,Low
CASE-2102,Civil,Case related to mutual in Civil matters.,2,4,7,616,Low
CASE-2103,Traffic,Case related to tax in Traffic matters.,4,4,3,186,Medium
CASE-2104,Commercial,Case related to murder in Commercial matters.,6,4,0,469,High
CASE-2105,Criminal,Case related to medical in Criminal matters.,5,1,9,394,High
CASE-2106,Traffic,Case related to fine in Traffic matters.,1,1,6,147,Low
CASE-2107,Commercial,Case related to permit in Commercial matters.,2,4,4,636,Low
CASE-2108,Criminal,Case related to permit in Criminal matters.,2,5,8,569,Low
CASE-2109,Criminal,Case related to rape in Criminal matters.,6,4,5,355,High
CASE-2110,Traffic,Case related to inheritance in Traffic matters.,4,5,3,196,Medium
CASE-2111,Traffic,Case related to emergency in Traffic matters.,5,2,4,166,High
CASE-2112,Civil,Case related to fraud in Civil matters.,6,4,0,397,High
CASE-2113,Civil,Case related to protection in Civil matters.,6,4,0,387,High
CASE-2114,Family,Case related to threat in Family matters.,6,5,4,324,High
CASE-2115,Criminal,Case related to medical in Criminal matters.,5,1,2,289,High
CASE-2116,Commercial,Case related to dispute in Commercial matters.,3,3,9,931,Medium
CASE-2117,Criminal,Case related to corporate in Criminal matters.,4,5,3,632,Medium
CASE-2118,Family,Case related to intellectual in Family matters.,3,2,2,365,Medium
CASE-2119,Criminal,Case related to merger in Criminal matters.,3,1,1,509,Medium
CASE-2120,Family,Case related to license in Family matters.,1,2,3,258,Low
CASE-2121,Civil,Case related to inheritance in Civil matters.,3,1,9,749,Medium
CASE-2122,Traffic,Case related to license in Traffic matters.,2,4,4,207,Low
CASE-2123,Family,Case related to inheritance in Family matters.,4,5,9,552,Medium
